Sl. No.,Species/Group,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21
1,Major Carp,547652,617761,692597,753572,777005,731662,728695,755074,750880,811588,846397,875624,962049,975531
2,Other Carp,9339,11155,64359,55021,60356,54130,80138,80997,80647,100730,111373,116130,125565,129237
3,Exotic Carp,333452,305938,376006,265375,299494,402490,389642,363737,357933,409801,454078,476761,503224,516969
4,"Pangas (Cat
Fish)",-,-,-,-,-,-,371068,406818,504674,510097,453383,458307,405059,402298
5,Other Cat Fish,85869,117856,208972,221965,288887,360722,81536,64537,65130,66646,68850,69636,69389,73180
6,Snake Head,110460,122093,113989,117577,89351,53305,60282,69305,70106,72991,73358,75147,74368,78468
7,Live Fish,75286,77113,101368,94000,95063,102651,115185,133512,136113,127120,144007,152241,160068,166204
8,Tilapia,-,-,-,-,-,-,298062,347801,377346,370017,381215,390559,371263,392095
9,"Other Inland
fish",643876,646085,575620,710853,763668,835457,524488,542711,568446,598923,554558,562585,592404,625286
10,Hilsa,290000,298921,313753,339845,346512,351223,385140,387211,394951,496417,517198,532795,550428,565183
11,Shrimp/Prawn,223095,244972,186418,239460,252523,228769,223788,230244,234188,246774,247304,239855,241281,251964
12,Crab,-,-,-,-,-,-,-,-,13160,14421,11787,12084,12562,12337
13,Sarpunti,-,-,-,-,-,-,-,-,-,-,91792,95649,98565,101932
14,Cuchia,-,-,-,-,-,-,-,-,-,-,-,-,13424,9195
15,Sardine,-,-,-,-,20187,29636,27590,32835,44386,48704,41486,28256,16814,34519
16,Bombay Duck,36980,58263,58464,60750,62817,71745,51673,53950,58545,69230,75085,68101,70749,71922
17,Indian Salmon,1040,7733,7733,4521,3030,2445,1960,1020,895,775,487,295,177,163
18,Pomfret,16728,46643,50245,40478,39537,29693,23355,11437,10593,10686,11899,11004,10023,9214
19,Jew Fish,33803,38414,35514,36639,37929,30600,36170,31826,31894,33768,35427,41600,41943,48665
20,Sea Cat Fish,20534,16515,16722,17193,19700,8594,9719,9476,8695,8424,9455,11455,13610,12199
21,"Shark/ Skate /
Ray",4767,3933,4794,4205,3865,5017,5648,5093,4622,4495,3974,4274,3373,8228
22,"Other Marine
Fish",130415,87975,92644,100233,101858,112115,133976,156661,165120,132827,143527,161861,167033,114309
TOTAL,None,2563296,2701370,2899198,3061687,3261782,3410254,3548115,3684245,3878324,4134434,4276640,4384221,4503371,4621228
