District/ Division,None,Area Under Garden (acre),None_1,None_2,Production of Inside Garden (M.Tons),None_3,None_4,Production of Outside Garden (M.Tons),None_5,None_6,Total Production of Inside & Outside Garden (M. Tons),None_7,None_8
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
1,Barguna,4785,4069.67,4061.89,0,0.00,0.00,5823,5603.00,5043.00,5823,5603.00,5043.00
2,Barishal,1589,298.00,331.00,0,0.00,0.00,11270,44271.00,6819.00,11270,44271.00,6819.00
3,Bhola,154,136.22,119.59,0,0.00,0.00,2574,2579.00,1877.20,2574,2579.00,1877.20
4,Jhallokati,424,519.00,518.00,0,0.00,0.00,1343,1814.00,1816.00,1343,1814.00,1816.00
5,Patuakhali,532,214.00,214.00,0,0.00,0.00,2766,3432.00,3472.00,2766,3432.00,3472.00
6,Pirojpur,467,467.48,460.66,0,0.00,0.00,4616,4661.00,4753.00,4616,4661.00,4753.00
Barishal Division,None,7951,5704.37,5705.14,0,0.00,0.00,28392,62360.00,23780.20,28392,62360.00,23780.20
7,Bandarban,9,9.00,9.00,0,0.00,0.00,52,52.25,52.75,52,52.25,52.75
8,Brahmanbaria,68,58.20,67.06,0,0.00,0.00,485,572.25,542.37,485,572.25,542.37
9,Chandpur,206,206.66,160.66,0,0.00,0.00,6314,6342.65,5237.43,6314,6342.65,5237.43
10,Chattogram,178,145.92,179.01,0,0.00,0.00,2497,2736.69,1829.31,2497,2736.69,1829.31
11,Cumilla,679,960.56,694.90,61,1.20,61.58,6504,6925.75,6743.10,6565,6926.95,6804.68
12,Cox’s Bazar,49,92.26,91.40,0,0.00,0.00,692,680.94,594.30,692,680.94,594.30
13,Feni,162,162.36,163.75,0,0.00,0.00,1463,1466.40,1710.00,1463,1466.40,1710.00
14,Khagrachari,24,24.65,24.89,0,0.00,0.00,145,152.73,152.85,145,152.73,152.85
15,Lakshmipur,58,62.34,76.00,0,0.00,0.00,2985,2743.52,2566.00,2985,2743.52,2566.00
16,Noakhali,260,260.77,266.05,0,0.00,0.00,9162,7773.44,15394.90,9162,7773.44,15394.90
17,Rangamati,85,84.45,86.17,0,0.00,0.00,285,284.41,287.39,285,284.41,287.39
Chattogram Division,None,1778,2067.17,1818.89,61,1.20,61.58,30584,29731.03,35110.40,30645,29732.23,35171.98
18,Dhaka,22,22.10,28.85,0,0.00,0.00,747,726.48,701.13,747,726.48,701.13
19,Faridpur,249,306.00,307.00,544,544.61,0.00,7200,7182.17,7577.50,7744,7726.78,7577.50
20,Gazipur,179,182.00,183.00,103,98.11,86.02,1254,1224.89,1249.98,1357,1323.00,1336.00
21,Gopalganj,386,387.84,379.91,0,0.00,0.00,4648,4823.79,3086.27,4648,4823.79,3086.27
22,Kishoreganj,30,29.27,28.18,0,0.00,0.00,589,596.75,609.87,589,596.75,609.87
23,Madaripur,360,255.54,347.29,0,0.00,0.00,7796,7657.91,7517.67,7796,7657.91,7517.67
24,Manikganj,64,49.83,49.81,0,0.00,0.00,599,469.64,409.90,599,469.64,409.90
25,Munshiganj,14,14.09,13.60,0,0.00,0.00,297,303.04,289.45,297,303.04,289.45
26,Narayanganj,9,11.18,11.20,0,0.00,0.00,384,263.67,260.70,384,263.67,260.70
27,Narsingdi,53,52.69,53.19,0,0.00,0.00,1194,1201.36,1200.77,1194,1201.36,1200.77
28,Rajbari,62,62.50,51.06,81,83.05,83.05,2659,2746.95,2813.63,2740,2830.00,2896.68
29,Shariatpur,172,127.63,124.18,59,105.60,105.60,1303,862.75,883.81,1362,968.35,989.41
30,Tangail,76,77.06,105.88,45,53.98,21.10,1726,1770.91,1743.60,1771,1824.89,1764.70
Dhaka Division,None,1676,1577.73,1683.15,832,885.35,295.77,30396,29830.31,28344.28,31228,30715.66,28640.05
31,Bagerhat,128,154.18,160.96,65,67.43,0.00,3001,3250.72,3260.06,3066,3318.15,3260.06
32,Chuadanga,22,28.05,28.51,7,6.81,6.86,436,433.36,433.58,443,440.17,440.44
33,Jashore,254,256.26,245.72,106,97.53,182.63,2081,2283.08,2299.05,2187,2380.61,2481.68
34,Jhenaidah,150,147.62,145.75,0,0.00,0.00,2445,2454.73,2493.76,2445,2454.73,2493.76
35,Khulna,141,143.16,142.69,0,0.00,0.00,1574,1629.80,1619.00,1574,1629.80,1619.00
36,Kushtia,104,104.00,87.00,0,0.00,0.00,2027,2016.00,1681.00,2027,2016.00,1681.00
37,Magura,112,112.06,113.45,0,0.00,0.00,2056,2097.57,2473.04,2056,2097.57,2473.04
38,Meherpur,35,37.19,39.07,0,0.00,0.00,222,216.40,216.19,222,216.40,216.19
39,Narail,202,192.28,192.20,0,0.00,0.00,1213,1212.86,1226.73,1213,1212.86,1226.73
40,Satkhira,361,483.83,484.61,67,66.62,65.81,1972,2170.86,2166.36,2039,2237.48,2232.17
Khulna Division,None,1509,1658.63,1639.96,245,238.39,255.30,17027,17765.38,17868.77,17272,18003.77,18124.07
41,Jamalpur,46,47.00,48.00,0,0.00,0.00,408,424.00,432.00,408,424.00,432.00
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
42,Mymensingh,683,690.00,702.00,0,0.00,0.00,2762,2861.00,2916.00,2762,2861.00,2916.00
43,Netrokona,50,50.00,53.00,0,0.00,0.00,373,382.00,397.00,373,382.00,397.00
44,Sherpur,100,69.00,77.00,0,0.00,0.00,1802,2849.00,2127.00,1802,2849.00,2127.00
Mymensingh Division,None,879,856.00,880.00,0,0.00,0.00,5345,6516.00,5872.00,5345,6516.00,5872.00
45,Bogura,255,243.55,230.74,0,0.00,0.00,7683,9406.00,9397.02,7683,9406.00,9397.02
46,Joypurhat,48,40.57,78.92,0,0.00,0.00,752,632.35,1081.87,752,632.35,1081.87
47,Naogaon,302,445.59,197.88,0,0.00,0.00,7026,8000.30,5674.39,7026,8000.30,5674.39
48,Natore,140,212.54,212.62,0,0.00,0.00,3668,3118.50,3915.53,3668,3118.50,3915.53
49,Chapai Nawabganj,180,138.29,108.04,0,0.00,0.00,925,1014.20,1028.35,925,1014.20,1028.35
50,Pabna,70,58.27,47.52,0,0.00,0.00,2617,2084.00,2289.86,2617,2084.00,2289.86
51,Rajshahi,512,353.79,375.64,0,0.00,0.00,4276,3671.80,2974.10,4276,3671.80,2974.10
52,Sirajganj,95,93.25,68.62,0,0.00,0.00,2058,2119.60,1590.01,2058,2119.60,1590.01
Rajshahi Division,None,1602,1585.85,1319.98,0,0.00,0.00,29005,30046.75,27951.13,29005,30046.75,27951.13
53,Dinajpur,88,76.86,77.38,0,0.00,0.00,736,718.50,738.54,736,718.50,738.54
54,Gaibandha,23,22.06,20.14,0,0.00,0.00,263,265.96,271.85,263,265.96,271.85
55,Kurigram,11,8.88,8.76,0,0.00,0.00,91,83.79,83.63,91,83.79,83.63
56,Lalmonirhat,5,5.80,6.57,0,0.00,0.00,39,40.65,56.66,39,40.65,56.66
57,Nilphamari,4,4.87,4.85,0,0.00,0.00,76,76.26,80.50,76,76.26,80.50
58,Panchagar,5,5.17,5.65,0,0.00,0.00,89,89.15,93.71,89,89.15,93.71
59,Rangpur,22,23.87,25.23,0,0.00,0.00,437,450.02,452.56,437,450.02,452.56
60,Tahkurgaon,7,6.84,6.92,0,0.00,0.00,136,136.43,139.16,136,136.43,139.16
Rangpur Division,None,165,154.35,155.50,0,0.00,0.00,1867,1860.76,1916.61,1867,1860.76,1916.61
61,Habigonj,152,163.03,148.17,0,0.00,0.00,288,450.12,427.74,288,450.12,427.74
62,Moulvibazar,40,31.65,30.61,0,0.00,0.00,281,262.31,267.60,281,262.31,267.60
63,Sunamganj,5,6.30,7.00,0,0.00,0.00,17,21.00,24.00,17,21.00,24.00
64,Sylhet,9,9.00,8.86,0,0.00,0.00,105,119.00,127.00,105,119.00,127.00
Sylhet Division,None,206,209.98,194.64,0,0.00,0.00,691,852.43,846.34,691,852.43,846.34
BANGLADESH,None,15766,13814.08,13397.26,1138,1124.94,612.65,143307,178962.66,141689.73,144445,188087.60,142302.38
