District/ Division,None,Area Under Garden (acre),None_1,None_2,Production of Inside Garden (M.Tons),None_3,None_4,Production of Outside Garden (M.Tons),None_5,None_6,Total Production of Inside & Outside Garden (M. Tons),None_7,None_8
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
1,Barguna,723,978.98,2576.00,533,508.74,506.64,2478,2292.26,2272.36,3011,2801.00,2779.00
2,Barishal,630,432.74,2314.00,0,0.00,0.00,14100,5852.00,6816.00,141000,5852.00,6816.00
3,Bhola,930,813.09,1113.00,0,0.00,0.00,5508,5460.40,5598.00,5508,5460.40,5598.00
4,Jhallokati,1799,1852.00,1859.00,0,0.00,0.00,2522,2713.00,3038.00,2522,2713.00,3038.00
5,Patuakhali,971,1187.00,2188.00,0,0.00,0.00,14580,1012.00,6761.00,14580,17351.60,6761.00
6,Pirojpur,875,1371.00,2880.00,0,0.00,0.00,7556,7582.00,7604.00,7556,7582.00,7604.00
Barishal Division,None,5928,6634.81,12930.00,533,508.74,506.64,46744,24911.66,32089.36,47277,41760.00,32596.00
7,Bandarban,1029,1029.10,1029.70,1506,1509.30,1512.14,2241,2237.20,2234.36,3747,3746.50,3746.50
8,Brahmanbaria,1001,1012.10,1090.46,821,824.32,732.24,17692,17631.43,15613.76,18513,18455.75,16346.00
9,Chandpur,509,484.41,483.31,0,0.00,0.00,10966,11283.68,11288.00,10966,11283.68,11288.00
10,Chattogram,1428,1414.04,1884.03,5624,6569.15,5558.29,30194,29495.75,29765.10,35818,36064.90,35323.39
11,Cumilla,2604,2605.00,2550.56,850,854.34,1295.49,21207,21223.66,18647.71,22057,22078.00,19943.20
12,Cox’s Bazar,256,255.77,256.41,1530,1874.52,1884.84,6488,6051.88,6031.44,8018,7926.40,7916.28
13,Feni,612,613.05,615.30,109,112.72,255.08,2253,2250.05,5310.34,2362,2362.77,5565.42
14,Khagrachari,5546,5622.28,5618.78,26136,27671.45,28440.13,14539,15372.46,15897.47,40675,43043.91,44337.60
15,Lakshmipur,131,226.70,229.67,0,0.00,0.00,2584,2974.45,3004.81,2584,2974.45,3004.81
16,Noakhali,139,155.32,155.00,0,0.00,0.00,1851,1823.95,2153.02,1851,1823.95,2153.02
17,Rangamati,3601,4596.32,6579.53,26231,23467.93,22512.40,17629,15755.86,15243.90,43860,39223.79,37756.30
